method,perf_accuracy,perf_precision,perf_recall,perf_f1,perf_roc_auc,fair_demographic_parity_difference,fair_equalized_odds_difference,fair_equal_opportunity_difference,fair_disparate_impact_ratio
baseline,0.8152282572475842,0.6584302325581395,0.3413715146948003,0.4496277915632754,0.7747718507831988,0.022032268651218212,0.022507919795332176,0.006294570340171113,0.9753554494958341
reweighing,0.8147284238587138,0.657856093979442,0.33760361718161264,0.44621513944223107,0.7735251804359478,0.02255105463376772,0.026128397661466907,0.006074707491044218,0.9748137349440544
fairlearn_postprocessing,0.8132289236921026,0.6388140161725068,0.3571966842501884,0.458192363460609,0.6499352405208161,0.011437291147283535,0.006689109935071547,0.003255369824475274,0.9870156871956679
