policy,threshold,demographic_parity_difference,equalized_odds_difference,equal_opportunity_difference,disparate_impact_ratio
baseline_threshold_050,0.5,0.022032268651218212,0.022507919795332176,0.006294570340171113,0.9753554494958341
recall_optimized,0.25,0.06907997098153773,0.07229641738937687,0.04677752212430675,0.9088833186222565
