method,perf_accuracy,perf_precision,perf_recall,perf_f1,perf_roc_auc,fair_demographic_parity_difference,fair_equalized_odds_difference,fair_equal_opportunity_difference,fair_disparate_impact_ratio
baseline,0.7105,0.6579457364341085,0.7502762430939226,0.7010841507485803,0.782547491107243,0.015096135865222793,0.013806648296886909,0.0007576162123194008,0.9692871718604088
reweighing,0.714,0.6608695652173913,0.7558011049723757,0.7051546391752578,0.7801094881303767,0.036105324947924566,0.042338433878564036,0.01529917496595723,0.9278612730622144
fairlearn_postprocessing,0.7005,0.6787383177570093,0.6419889502762431,0.6598523566155593,0.6954236988824137,0.005432048888440066,0.020509037994286272,0.020509037994286272,0.9905484245344245
